Timestamp,Where is your hall of residence situated?,Do you use the shuttle?," If yes, how often do you use the shuttle?",How comfortable are you with the current mode of operation of the shuttle system?,What challenges do you encounter during the use of the shuttle?,How do you want the challenges stated to be resolved?,Would you like if a mobile app is developed to show the location of the bus?,What other features would you like to be added to the mobile app?,Would you like if a cashless payment system is included in the mobile app?,"If yes, select which select which type payment system you would like to be added to the mobile app?","If other payment, specify the type of payment system you want?",Any suggestion on how to improve the shuttle services on campus?
2019/10/24 12:55:25 PM GMT,Diaspora,Yes,Most times,Normal,Long waiting time,Better management,Yes,Show estimated time of arrival,Yes,Mobile money,,Good leaders
2019/10/24 1:04:15 PM GMT,Diaspora,Yes,Most times,Normal,"There’s a lot of delay, especially when it takes a long time for the bus to get full ",,Yes,,Yes,Mobile money,,
2019/10/24 1:12:05 PM GMT,Main campus,No,Not at all,Normal,,,Yes,,No,,,
2019/10/24 1:15:25 PM GMT,Diaspora,Yes,Most times,Not comfortable,People like standing in it a lot ,It should move right after it's full,No,,Yes,Other,Should be added to our fees,Please  they should incultivate AC in it
2019/10/24 1:19:38 PM GMT,Diaspora,Yes,Most times,Normal,,,Yes,,Yes,Mobile money,,
2019/10/24 1:20:22 PM GMT,Main campus,No,Not at all,Normal,Those standing can fall and hurt,More buses to avoid students standing and at the correct hour intervals ,Yes,,Yes,Mobile money,,
2019/10/24 1:40:10 PM GMT,"Private Hostels (Pent , Evandy, Bani and TF)",Yes,Sometimes,Normal,No challenges ,,Yes,Everything ,No,,,
2019/10/24 2:09:47 PM GMT,Diaspora,Yes,Sometimes,Normal,the shuttle is too slow for my liking,i prefer trains or maybe drones,Yes,It should allow me to take selfies in the Bus,Yes,Other,Betway,We should should use shuttles that can teleport
2019/10/24 2:22:35 PM GMT,Diaspora,Yes,Most times,Not comfortable,Heat in the buses and uncomfortable seats ,Immediately at least,Yes,How close I am to a shuttle ,Yes,Mobile money;Token;QR code verification,,They must move according to time not when the buses are full
2019/10/24 2:35:43 PM GMT,Diaspora,Yes,Sometimes,Normal,It’s late at times,App,Yes,,Yes,Mobile money;QR code verification,,
2019/10/24 2:38:29 PM GMT,Diaspora,Yes,Sometimes,Normal,,,Yes,,Yes,Mobile money;Token;QR code verification;Other,,
2019/10/24 2:38:37 PM GMT,Main campus,Yes,Sometimes,Normal,,,Yes,,Yes,Mobile money;Token;QR code verification,,
2019/10/24 2:40:23 PM GMT,"Private Hostels (Pent , Evandy, Bani and TF)",Yes,Sometimes,Normal,Not knowing the exact location the shuttle is at,Creating a shuttle GRS to help students locate the shuttle ,Yes,The type of shuttle,Yes,Mobile money,,
2019/10/24 2:41:16 PM GMT,Diaspora,No,Not at all,Not comfortable,,,Yes,,Yes,Mobile money,,
2019/10/24 2:41:20 PM GMT,Diaspora,Yes,Most times,Not comfortable,It delays in moving. And it's really slow  I'm not insinuating that it should be move at speed but at least it should move with some bit of space. However ,Oh I really wished it moved with time and not when it's full. So that the shuttles will leave at a particular time. ,No,,Yes,,,
2019/10/24 2:41:26 PM GMT,Diaspora,Yes,Most times,Normal,The heat in the shuttle ,,Yes,,Yes,QR code verification,,Providing more shuttle or shuttles which takes a larger number of people 
2019/10/24 2:41:55 PM GMT,Diaspora,Yes,Most times,Not comfortable,Over speeding ... ,Reduce the speeding ,Yes,,No,,,
2019/10/24 2:44:09 PM GMT,Diaspora,Yes,Most times,Not comfortable,Unavailability of shuttles,more shuttles should be provided,Yes,,No,,,
2019/10/24 2:45:09 PM GMT,Diaspora,Yes,Most times,Normal,,,Yes,,Yes,Mobile money;QR code verification,,
2019/10/24 2:45:38 PM GMT,Diaspora,Yes,Most times,Normal,It takes a longer time to get to the destination ,The buses should be moved on time,Yes,If there’s available space ,Yes,Mobile money,I think for the price cash is fine ,
2019/10/24 2:45:53 PM GMT,Diaspora,Yes,Most times,Normal,,,Yes,,Yes,Mobile money;Token;QR code verification,,
2019/10/24 2:46:52 PM GMT,Diaspora,Yes,Most times,Comfortable,,,Yes,,Yes,Mobile money,,Try should be time observant 
2019/10/24 2:52:32 PM GMT,Jubilee/ISH,Yes,Most times,Normal,,,Yes,Mobile payment ,Yes,Mobile money;QR code verification,,It like the shuttles are in competition. And some are too slow
